cluster,5
ll,v1.25
opt,
planning_horizon,2050
AC,97.28848542910148
none,0.0
co2,-371.0387927859929
co2 stored,-168.57631219670634
co2 sequestered,-168.56561985692338
gas,24.578253960120108
H2,102.9060992401207
battery,97.59479932928647
Li ion,112.60086755113018
urban central heat,44.23899009761776
urban central water tanks,43.21213716022449
biogas,70.4469687743531
solid biomass,109.52159530973144
solid biomass for industry,61.46390412585465
gas for industry,76.42394245362115
methanol,101.53650080146947
industry methanol,193.56755178293582
shipping methanol,193.56756322661124
oil,52.920405278121066
naphtha for industry,143.1432692651564
kerosene for aviation,148.32448333607041
process emissions,-223.20463949713886
agriculture machinery oil,148.32396227467433
low voltage,106.22270952262463
home battery,105.923505899166
rural heat,51.69498895814267
rural water tanks,50.4224116018521
urban decentral heat,64.54456313134995
urban decentral water tanks,63.839121320971095
