cluster,5
ll,v1.25
opt,
planning_horizon,2050
DAC,73.7438971254446
DC,69.1478359863758
H2 Electrolysis,14.96935222890332
H2 Fuel Cell,169.06967333562872
OCGT,589.3231044908554
battery charger,43.704181321712106
battery discharger,118.45131736975037
electricity distribution grid,22.00976085339265
nuclear,132.58158449371504
offwind-ac,70.25693427247674
offwind-dc,80.54922868598257
offwind-float,66.61955948582779
onwind,52.175910809941065
ror,98.99525921977684
solar,51.570649947098055
solar-hsat,52.214039509045136
urban central gas CHP,253.65255120545322
urban central gas CHP CC,163.1707119336339
urban central solid biomass CHP,143.6106043159633
urban central solid biomass CHP CC,123.92102273158761
