links,capital,,DC,678392304.1188383
links,capital,,co2 sequestered,0.0
links,capital,DE0 0,BEV charger,0.0
links,capital,DE0 0,DAC,3688.209267687087
links,capital,DE0 0,Fischer-Tropsch,193.6987920381206
links,capital,DE0 0,H2 Electrolysis,1230.9200920992337
links,capital,DE0 0,H2 Fuel Cell,322.5176772361879
links,capital,DE0 0,OCGT,366904224.7342308
links,capital,DE0 0,SMR,232.3500642783486
links,capital,DE0 0,SMR CC,279804708.48737174
links,capital,DE0 0,Sabatier,126.64855443070394
links,capital,DE0 0,V2G,0.0
links,capital,DE0 0,battery charger,40430001.76670392
links,capital,DE0 0,battery discharger,0.0
links,capital,DE0 0,electricity distribution grid,1736415024.9708219
links,capital,DE0 0,home battery charger,584.2826365659351
links,capital,DE0 0,home battery discharger,0.0
links,capital,DE0 0,methanolisation,3370.8242771872383
links,capital,DE0 0,rural air heat pump,802.5690368346683
links,capital,DE0 0,rural biomass boiler,563.3504721941989
links,capital,DE0 0,rural gas boiler,61301445.156305395
links,capital,DE0 0,rural ground heat pump,320974204.54435885
links,capital,DE0 0,rural resistive heater,3775115.7863071864
links,capital,DE0 0,rural water tanks charger,0.0
links,capital,DE0 0,rural water tanks discharger,0.0
links,capital,DE0 0,urban central air heat pump,643983972.4837152
links,capital,DE0 0,urban central gas CHP,631976501.3850719
links,capital,DE0 0,urban central gas CHP CC,2010826450.9334073
links,capital,DE0 0,urban central gas boiler,40403968.34377498
links,capital,DE0 0,urban central resistive heater,67850923.85008204
links,capital,DE0 0,urban central solid biomass CHP,300.62859150348555
links,capital,DE0 0,urban central solid biomass CHP CC,17638.7291669757
links,capital,DE0 0,urban central water tanks charger,0.0
links,capital,DE0 0,urban central water tanks discharger,0.0
links,capital,DE0 0,urban decentral air heat pump,1060268365.088475
links,capital,DE0 0,urban decentral biomass boiler,499.8725795921689
links,capital,DE0 0,urban decentral gas boiler,706744936.7182796
links,capital,DE0 0,urban decentral resistive heater,23332704.431214523
links,capital,DE0 0,urban decentral water tanks charger,0.0
links,capital,DE0 0,urban decentral water tanks discharger,0.0
links,capital,DE0 1,BEV charger,0.0
links,capital,DE0 1,DAC,3055.8168592566753
links,capital,DE0 1,Fischer-Tropsch,193.28473889637934
links,capital,DE0 1,H2 Electrolysis,1165.0893993451086
links,capital,DE0 1,H2 Fuel Cell,335.5784516751015
links,capital,DE0 1,OCGT,363709441.4577145
links,capital,DE0 1,SMR,232.19814598996115
links,capital,DE0 1,SMR CC,59287534.41987117
links,capital,DE0 1,Sabatier,126.47443764740432
links,capital,DE0 1,V2G,0.0
links,capital,DE0 1,battery charger,7877.155894199737
links,capital,DE0 1,battery discharger,0.0
links,capital,DE0 1,electricity distribution grid,1331102992.702471
links,capital,DE0 1,home battery charger,575.7729141592356
links,capital,DE0 1,home battery discharger,0.0
links,capital,DE0 1,methanolisation,2664.3427347532675
links,capital,DE0 1,rural air heat pump,751.0527870313451
links,capital,DE0 1,rural biomass boiler,513.1115902838552
links,capital,DE0 1,rural gas boiler,482695510.65987796
links,capital,DE0 1,rural ground heat pump,1854736332.4796069
links,capital,DE0 1,rural resistive heater,32282263.003776494
links,capital,DE0 1,rural water tanks charger,0.0
links,capital,DE0 1,rural water tanks discharger,0.0
links,capital,DE0 1,urban central air heat pump,35359865.69604085
links,capital,DE0 1,urban central gas CHP,243988441.83911267
links,capital,DE0 1,urban central gas CHP CC,1926613882.5243428
links,capital,DE0 1,urban central gas boiler,19167349.94765167
links,capital,DE0 1,urban central resistive heater,59430669.94012261
links,capital,DE0 1,urban central solid biomass CHP,298.3419533106731
links,capital,DE0 1,urban central solid biomass CHP CC,34653460.92444412
links,capital,DE0 1,urban central water tanks charger,0.0
links,capital,DE0 1,urban central water tanks discharger,0.0
links,capital,DE0 1,urban decentral air heat pump,568305371.9625698
links,capital,DE0 1,urban decentral biomass boiler,514.4605018838677
links,capital,DE0 1,urban decentral gas boiler,510741567.532143
links,capital,DE0 1,urban decentral resistive heater,19238131.99381171
links,capital,DE0 1,urban decentral water tanks charger,0.0
links,capital,DE0 1,urban decentral water tanks discharger,0.0
links,capital,DE0 2,BEV charger,0.0
links,capital,DE0 2,DAC,2930.2334732082945
links,capital,DE0 2,Fischer-Tropsch,193.22558423919668
links,capital,DE0 2,H2 Electrolysis,917.8050367038053
links,capital,DE0 2,H2 Fuel Cell,323.80868378742156
